,nose,left_eye,right_eye,left_ear,right_ear,left_shoulder,right_shoulder,left_elbow,right_elbow,left_wrist,right_wrist,left_hip,right_hip,left_knee,right_knee,left_ankle,right_ankle
43,"(0.5439748764038086, 0.34863588213920593)","(0.5539762377738953, 0.34263530373573303)","(0.537143349647522, 0.340442031621933)","(0.5615690350532532, 0.34568309783935547)","(0.5195581912994385, 0.3395892381668091)","(0.5747936367988586, 0.3749011158943176)","(0.49412843585014343, 0.3648226261138916)","(0.5757256746292114, 0.42669689655303955)","(0.452059268951416, 0.32639068365097046)","(0.5444303750991821, 0.46066635847091675)","(0.5035287737846375, 0.3304111361503601)","(0.5403686761856079, 0.4764406681060791)","(0.48923614621162415, 0.47242745757102966)","(0.5326641798019409, 0.5552616715431213)","(0.49455249309539795, 0.5525151491165161)","(0.5383914709091187, 0.6055847406387329)","(0.49423953890800476, 0.6008580923080444)"
44,"(0.5454685091972351, 0.3469933867454529)","(0.5559065937995911, 0.34123703837394714)","(0.5400140881538391, 0.3385676145553589)","(0.5640878677368164, 0.3443838655948639)","(0.5223487615585327, 0.33765703439712524)","(0.5760849714279175, 0.3759537637233734)","(0.49425622820854187, 0.3624526560306549)","(0.5766494870185852, 0.4259832203388214)","(0.4499225318431854, 0.32042065262794495)","(0.5444430708885193, 0.4631374776363373)","(0.5073118805885315, 0.3251471519470215)","(0.540053129196167, 0.4749250113964081)","(0.48769521713256836, 0.4705081582069397)","(0.5337622165679932, 0.5532182455062866)","(0.4951210916042328, 0.5498077869415283)","(0.5373114347457886, 0.6062024831771851)","(0.49313056468963623, 0.6048456430435181)"
45,"(0.5454529523849487, 0.34316617250442505)","(0.5557713508605957, 0.3379842936992645)","(0.5388826727867126, 0.3357946276664734)","(0.5653616189956665, 0.34261542558670044)","(0.5221360921859741, 0.3373163342475891)","(0.5786246061325073, 0.3765800893306732)","(0.49446043372154236, 0.36010420322418213)","(0.5746498107910156, 0.42862969636917114)","(0.4478066563606262, 0.32116127014160156)","(0.5466896891593933, 0.4648533761501312)","(0.504365861415863, 0.3267326056957245)","(0.5397595167160034, 0.47381535172462463)","(0.48744288086891174, 0.46901413798332214)","(0.5360655784606934, 0.5520133376121521)","(0.49691054224967957, 0.5488548874855042)","(0.5389249920845032, 0.6055517196655273)","(0.49151504039764404, 0.6090872287750244)"
46,"(0.5484788417816162, 0.3417275846004486)","(0.5598466396331787, 0.33648744225502014)","(0.5419833064079285, 0.33373144268989563)","(0.5685387849807739, 0.34237149357795715)","(0.5245005488395691, 0.33496150374412537)","(0.5798958539962769, 0.376483678817749)","(0.4932226240634918, 0.35644856095314026)","(0.5745515823364258, 0.42836055159568787)","(0.4472160041332245, 0.3119205832481384)","(0.5444217920303345, 0.4670983850955963)","(0.509215772151947, 0.3180333971977234)","(0.5397586226463318, 0.47035303711891174)","(0.48635369539260864, 0.4651223123073578)","(0.536591112613678, 0.5498395562171936)","(0.4968467950820923, 0.5488194227218628)","(0.5391083359718323, 0.6053376793861389)","(0.48879456520080566, 0.6131842732429504)"
47,"(0.5498872995376587, 0.3413117527961731)","(0.5605865120887756, 0.3355400860309601)","(0.5429090857505798, 0.3330685794353485)","(0.5693678855895996, 0.3409647047519684)","(0.5244202613830566, 0.3353407680988312)","(0.5799620151519775, 0.3762141168117523)","(0.4944206476211548, 0.3558124303817749)","(0.5751481056213379, 0.4256579577922821)","(0.4466029107570648, 0.31123772263526917)","(0.5418081283569336, 0.46733391284942627)","(0.5056266784667969, 0.3153949975967407)","(0.5396298170089722, 0.46710407733917236)","(0.4849976599216461, 0.4624495804309845)","(0.5358180403709412, 0.546931266784668)","(0.49607616662979126, 0.5469965934753418)","(0.5378465056419373, 0.6036314368247986)","(0.48854315280914307, 0.6144528388977051)"
48,"(0.5502308011054993, 0.3364048898220062)","(0.5610230565071106, 0.33177849650382996)","(0.543906033039093, 0.3291946053504944)","(0.5699691772460938, 0.3382130265235901)","(0.5273486971855164, 0.3314550220966339)","(0.5822376608848572, 0.37524014711380005)","(0.4959242343902588, 0.3534773588180542)","(0.574368953704834, 0.4246503710746765)","(0.45007044076919556, 0.30617284774780273)","(0.5488110780715942, 0.46758344769477844)","(0.5065609216690063, 0.31091439723968506)","(0.538381814956665, 0.4657433032989502)","(0.4845510721206665, 0.4616197943687439)","(0.5348933339118958, 0.5446935296058655)","(0.4969007968902588, 0.5465787649154663)","(0.5375387668609619, 0.6028346419334412)","(0.48621031641960144, 0.6167587637901306)"
49,"(0.5518554449081421, 0.3365343511104584)","(0.5624731183052063, 0.331665575504303)","(0.5468084812164307, 0.32821863889694214)","(0.5702648162841797, 0.33780062198638916)","(0.530230700969696, 0.3303215503692627)","(0.5822312831878662, 0.37404391169548035)","(0.4967637360095978, 0.3513479232788086)","(0.5729318261146545, 0.42300084233283997)","(0.45223507285118103, 0.3069589138031006)","(0.5507128238677979, 0.46831294894218445)","(0.5036482810974121, 0.3064453601837158)","(0.5354866981506348, 0.46373993158340454)","(0.48428329825401306, 0.45964208245277405)","(0.5343968868255615, 0.5430759787559509)","(0.4956878125667572, 0.5457483530044556)","(0.5360520482063293, 0.6028276681900024)","(0.48547157645225525, 0.6167705059051514)"
50,"(0.5504302978515625, 0.334295392036438)","(0.5625751614570618, 0.3288157284259796)","(0.5446492433547974, 0.3261803388595581)","(0.5705859065055847, 0.33613121509552)","(0.5282467603683472, 0.32875290513038635)","(0.5805771946907043, 0.37501347064971924)","(0.49713054299354553, 0.3491295874118805)","(0.571361243724823, 0.42429426312446594)","(0.4562947750091553, 0.30501842498779297)","(0.5504466891288757, 0.4700837731361389)","(0.5004571080207825, 0.3005600571632385)","(0.535022497177124, 0.4635167419910431)","(0.48355939984321594, 0.45867791771888733)","(0.534587562084198, 0.5429613590240479)","(0.4952722489833832, 0.5477398037910461)","(0.5346553921699524, 0.6028396487236023)","(0.4857056140899658, 0.6185939311981201)"
51,"(0.5496878027915955, 0.33360686898231506)","(0.5607762336730957, 0.3286541998386383)","(0.5436887741088867, 0.32545194029808044)","(0.5708796381950378, 0.3363918960094452)","(0.5288392901420593, 0.32807597517967224)","(0.5800334811210632, 0.37546882033348083)","(0.4994836449623108, 0.3470876216888428)","(0.5699891448020935, 0.42401885986328125)","(0.4613753855228424, 0.3076091408729553)","(0.5538434386253357, 0.4719012975692749)","(0.4978032112121582, 0.2835482358932495)","(0.5326293706893921, 0.4624079167842865)","(0.482116162776947, 0.45669567584991455)","(0.5329694151878357, 0.5418980717658997)","(0.4924798607826233, 0.5458483099937439)","(0.5320903658866882, 0.6024646162986755)","(0.4856104552745819, 0.6191061735153198)"
52,"(0.5488365888595581, 0.33436933159828186)","(0.5608203411102295, 0.3280079662799835)","(0.5422685742378235, 0.3256551921367645)","(0.5717520713806152, 0.3345848023891449)","(0.528420627117157, 0.32907113432884216)","(0.5796821713447571, 0.3753323554992676)","(0.5018871426582336, 0.34670111536979675)","(0.5683894157409668, 0.4260423183441162)","(0.46461954712867737, 0.306567519903183)","(0.555017352104187, 0.47010338306427)","(0.4993872046470642, 0.2746039032936096)","(0.5321846008300781, 0.4606855809688568)","(0.4824586808681488, 0.4547393321990967)","(0.5325884819030762, 0.5419747233390808)","(0.49184274673461914, 0.5472487807273865)","(0.5310352444648743, 0.6031269431114197)","(0.48577389121055603, 0.6209812164306641)"
