,nose,left_eye,right_eye,left_ear,right_ear,left_shoulder,right_shoulder,left_elbow,right_elbow,left_wrist,right_wrist,left_hip,right_hip,left_knee,right_knee,left_ankle,right_ankle
48,"(0.5292186737060547, 0.3285740613937378)","(0.5400754809379578, 0.32200345396995544)","(0.5230581164360046, 0.32078057527542114)","(0.5557893514633179, 0.3269925117492676)","(0.5107590556144714, 0.3234843313694)","(0.567516028881073, 0.36145034432411194)","(0.4906995892524719, 0.34737682342529297)","(0.5592403411865234, 0.41670796275138855)","(0.4593257009983063, 0.30967411398887634)","(0.5489429831504822, 0.46349531412124634)","(0.50788813829422, 0.3129640519618988)","(0.5261405110359192, 0.4638870358467102)","(0.4799364507198334, 0.4583328068256378)","(0.513713002204895, 0.5519185662269592)","(0.4701143503189087, 0.5440727472305298)","(0.5086135268211365, 0.6129394173622131)","(0.4853845536708832, 0.5891929268836975)"
49,"(0.5315036773681641, 0.3293267488479614)","(0.5422017574310303, 0.32279035449028015)","(0.5246763229370117, 0.322229266166687)","(0.5574509501457214, 0.32539406418800354)","(0.5109905004501343, 0.32317015528678894)","(0.5685328841209412, 0.3620049059391022)","(0.490349143743515, 0.3459685146808624)","(0.5615575313568115, 0.414570689201355)","(0.46188774704933167, 0.3136788010597229)","(0.5505163669586182, 0.46176671981811523)","(0.45734578371047974, 0.3077077865600586)","(0.5263523459434509, 0.46558818221092224)","(0.4805870056152344, 0.459563672542572)","(0.5155248641967773, 0.5503696799278259)","(0.47339844703674316, 0.543513298034668)","(0.5082156658172607, 0.6145376563072205)","(0.48371991515159607, 0.5886569619178772)"
50,"(0.534467875957489, 0.3270207643508911)","(0.545039713382721, 0.3209861218929291)","(0.5275115370750427, 0.3203093111515045)","(0.5595569014549255, 0.3255096971988678)","(0.5121029615402222, 0.3228951096534729)","(0.5721016526222229, 0.3670103847980499)","(0.48924320936203003, 0.3501489758491516)","(0.5665552020072937, 0.41683000326156616)","(0.4546179473400116, 0.3085121512413025)","(0.5532647371292114, 0.4652753472328186)","(0.4754134714603424, 0.30296510457992554)","(0.5265887379646301, 0.46595051884651184)","(0.4818516969680786, 0.46131718158721924)","(0.5167139172554016, 0.5444175601005554)","(0.4762212932109833, 0.5411683917045593)","(0.5103667974472046, 0.611737072467804)","(0.4829849898815155, 0.5855894088745117)"
51,"(0.5353115797042847, 0.32791540026664734)","(0.5461836457252502, 0.3223950266838074)","(0.5296501517295837, 0.3205360472202301)","(0.5612858533859253, 0.32736825942993164)","(0.5175204277038574, 0.32226625084877014)","(0.576189398765564, 0.3649282157421112)","(0.48946940898895264, 0.34500613808631897)","(0.5680254101753235, 0.41721880435943604)","(0.4451920688152313, 0.296328604221344)","(0.5549145340919495, 0.46725228428840637)","(0.5063499212265015, 0.3079204559326172)","(0.5297369956970215, 0.46519845724105835)","(0.4811917245388031, 0.4580678939819336)","(0.5161041021347046, 0.5478376746177673)","(0.47598809003829956, 0.5426010489463806)","(0.5098506212234497, 0.6115885972976685)","(0.48043200373649597, 0.582735002040863)"
52,"(0.5377845764160156, 0.3273608982563019)","(0.5486681461334229, 0.3213598430156708)","(0.5317838788032532, 0.3196658790111542)","(0.562515139579773, 0.32727283239364624)","(0.5166888236999512, 0.3224969506263733)","(0.5786861777305603, 0.3649194836616516)","(0.4895380735397339, 0.3452809154987335)","(0.5708593130111694, 0.4181586503982544)","(0.4485480487346649, 0.3020291030406952)","(0.5569750666618347, 0.4677133560180664)","(0.5001806020736694, 0.3074239194393158)","(0.5309669375419617, 0.4634837508201599)","(0.48120447993278503, 0.4570187032222748)","(0.5162755250930786, 0.5469828844070435)","(0.4783506989479065, 0.5416784286499023)","(0.5093444585800171, 0.6106635928153992)","(0.4778382182121277, 0.5839095711708069)"
53,"(0.5399402379989624, 0.32651036977767944)","(0.5512705445289612, 0.3201254904270172)","(0.5333701968193054, 0.3192631006240845)","(0.5655607581138611, 0.32677707076072693)","(0.5189740657806396, 0.3225891590118408)","(0.5788128972053528, 0.36628997325897217)","(0.4918772876262665, 0.34828290343284607)","(0.5739732980728149, 0.4168241024017334)","(0.4449350833892822, 0.29439547657966614)","(0.5628286004066467, 0.46713951230049133)","(0.5051315426826477, 0.29596656560897827)","(0.5329970717430115, 0.46241918206214905)","(0.4819486737251282, 0.4573409855365753)","(0.5176182985305786, 0.5464211106300354)","(0.4797292947769165, 0.5419098138809204)","(0.5088673233985901, 0.6113298535346985)","(0.47540727257728577, 0.5818778872489929)"
54,"(0.5419714450836182, 0.32533198595046997)","(0.5533599853515625, 0.3192515969276428)","(0.5352402329444885, 0.3184705972671509)","(0.5657265782356262, 0.32716864347457886)","(0.5214656591415405, 0.3223707675933838)","(0.578970730304718, 0.3674714267253876)","(0.4899102747440338, 0.3443876802921295)","(0.5730551481246948, 0.4173746109008789)","(0.44163939356803894, 0.29225924611091614)","(0.5654194355010986, 0.4688696563243866)","(0.4946631193161011, 0.29161709547042847)","(0.5329468250274658, 0.4613775312900543)","(0.48315590620040894, 0.4541820287704468)","(0.5187053680419922, 0.5452897548675537)","(0.4805369973182678, 0.5413833856582642)","(0.5066133737564087, 0.6135579347610474)","(0.4723850190639496, 0.5814017653465271)"
55,"(0.5422745943069458, 0.3244883716106415)","(0.5536722540855408, 0.3187757432460785)","(0.5355671048164368, 0.31642335653305054)","(0.5669121146202087, 0.3259742558002472)","(0.5232144594192505, 0.3209192752838135)","(0.5782821178436279, 0.36625927686691284)","(0.49292194843292236, 0.3432345688343048)","(0.5728681087493896, 0.41808199882507324)","(0.4458371102809906, 0.29558253288269043)","(0.5688130259513855, 0.46731457114219666)","(0.48776113986968994, 0.28035998344421387)","(0.5359417200088501, 0.4605032503604889)","(0.4857935607433319, 0.4537925124168396)","(0.5191050171852112, 0.544542133808136)","(0.48269352316856384, 0.5418018102645874)","(0.5068062543869019, 0.6128376722335815)","(0.4696498215198517, 0.5817117691040039)"
56,"(0.5453060865402222, 0.3251280188560486)","(0.5566450953483582, 0.3188292682170868)","(0.5379961729049683, 0.31661316752433777)","(0.5679602026939392, 0.3260994553565979)","(0.524185836315155, 0.3207389712333679)","(0.5795091390609741, 0.3669065833091736)","(0.49519091844558716, 0.34188705682754517)","(0.5724487900733948, 0.41657325625419617)","(0.4514058530330658, 0.2987901568412781)","(0.5735872983932495, 0.46701470017433167)","(0.46805620193481445, 0.2763098180294037)","(0.536268413066864, 0.4605807960033417)","(0.4873836636543274, 0.4543662965297699)","(0.5198842883110046, 0.5443286895751953)","(0.4860101342201233, 0.5435881614685059)","(0.5071250200271606, 0.6130842566490173)","(0.46870940923690796, 0.5842514038085938)"
57,"(0.5461567044258118, 0.3250499963760376)","(0.5576848387718201, 0.3188171982765198)","(0.5383661985397339, 0.3166986107826233)","(0.5686386227607727, 0.32732632756233215)","(0.5242586135864258, 0.32164138555526733)","(0.578504741191864, 0.3675873875617981)","(0.49710947275161743, 0.3433445394039154)","(0.5727439522743225, 0.41783231496810913)","(0.45486634969711304, 0.2978178560733795)","(0.5765742659568787, 0.4681462347507477)","(0.4732307493686676, 0.26298877596855164)","(0.5370809435844421, 0.46110883355140686)","(0.4889173209667206, 0.45474693179130554)","(0.5210339426994324, 0.5448587536811829)","(0.486899197101593, 0.5427151918411255)","(0.5079017877578735, 0.6135296821594238)","(0.4688272774219513, 0.5838500261306763)"
