,nose,left_eye,right_eye,left_ear,right_ear,left_shoulder,right_shoulder,left_elbow,right_elbow,left_wrist,right_wrist,left_hip,right_hip,left_knee,right_knee,left_ankle,right_ankle
30,"(0.5073623657226562, 0.287902295589447)","(0.5209397077560425, 0.28040915727615356)","(0.4969090521335602, 0.28131571412086487)","(0.5497053265571594, 0.2928380072116852)","(0.4867546856403351, 0.2937546670436859)","(0.5537745356559753, 0.33296462893486023)","(0.49850577116012573, 0.3540164530277252)","(0.6287703514099121, 0.3626105785369873)","(0.4859188199043274, 0.43137696385383606)","(0.6276952028274536, 0.36245784163475037)","(0.46352794766426086, 0.4962044060230255)","(0.5394009351730347, 0.48608872294425964)","(0.48355433344841003, 0.490612268447876)","(0.5515733361244202, 0.5946565270423889)","(0.47300517559051514, 0.572991669178009)","(0.5691933631896973, 0.6856430768966675)","(0.49187204241752625, 0.6354093551635742)"
31,"(0.5151958465576172, 0.28598085045814514)","(0.5298012495040894, 0.2796187698841095)","(0.503163754940033, 0.28077951073646545)","(0.5577524900436401, 0.29251426458358765)","(0.4912334382534027, 0.2925705909729004)","(0.5728054642677307, 0.3343401551246643)","(0.4937179982662201, 0.35395756363868713)","(0.6429821252822876, 0.37222716212272644)","(0.4877997040748596, 0.4298396110534668)","(0.6368974447250366, 0.37140873074531555)","(0.46353206038475037, 0.49380093812942505)","(0.5420147776603699, 0.48374640941619873)","(0.48069727420806885, 0.4873819351196289)","(0.5536863803863525, 0.5904790163040161)","(0.473207026720047, 0.5763667225837708)","(0.5707736611366272, 0.6856257319450378)","(0.4890793561935425, 0.6349948644638062)"
32,"(0.5162944793701172, 0.2825949490070343)","(0.532270610332489, 0.27569398283958435)","(0.5074321031570435, 0.27686116099357605)","(0.5622628927230835, 0.29189515113830566)","(0.4986136257648468, 0.2889554500579834)","(0.5741189122200012, 0.33556681871414185)","(0.4946063458919525, 0.34928959608078003)","(0.6511899828910828, 0.3789786696434021)","(0.48691678047180176, 0.4230068624019623)","(0.6413609981536865, 0.37079501152038574)","(0.4635283350944519, 0.4914627969264984)","(0.5451076030731201, 0.48532989621162415)","(0.4817706048488617, 0.4892997145652771)","(0.5566171407699585, 0.5914649367332458)","(0.47370803356170654, 0.575343906879425)","(0.5699983835220337, 0.683849573135376)","(0.48913976550102234, 0.6324955821037292)"
33,"(0.5298579931259155, 0.28315821290016174)","(0.5443982481956482, 0.2762487828731537)","(0.5180938243865967, 0.2763630449771881)","(0.5702682733535767, 0.29085585474967957)","(0.5071221590042114, 0.2869069278240204)","(0.584338903427124, 0.3346349596977234)","(0.4970916509628296, 0.3374750316143036)","(0.6531939506530762, 0.3779410719871521)","(0.49288079142570496, 0.3670286238193512)","(0.6455677151679993, 0.3775014579296112)","(0.4982396066188812, 0.32586199045181274)","(0.5455664396286011, 0.4863934814929962)","(0.47966301441192627, 0.48815372586250305)","(0.5587869882583618, 0.5927792191505432)","(0.4715834856033325, 0.5714532732963562)","(0.5729988217353821, 0.6847149729728699)","(0.48581936955451965, 0.6325703859329224)"
34,"(0.5376883745193481, 0.2812841534614563)","(0.5524580478668213, 0.2747962176799774)","(0.5269047021865845, 0.27415210008621216)","(0.578677773475647, 0.288938045501709)","(0.5164393186569214, 0.2840026915073395)","(0.5972668528556824, 0.3344476521015167)","(0.4975147843360901, 0.3329426050186157)","(0.6645896434783936, 0.38645610213279724)","(0.46864986419677734, 0.32779064774513245)","(0.6606519818305969, 0.38437631726264954)","(0.4971165955066681, 0.31153446435928345)","(0.551082193851471, 0.485288143157959)","(0.4799707531929016, 0.4834705889225006)","(0.5634048581123352, 0.5908356308937073)","(0.47475504875183105, 0.5728877782821655)","(0.5732486248016357, 0.6827235817909241)","(0.48337167501449585, 0.6306716799736023)"
35,"(0.5389655232429504, 0.2799629867076874)","(0.554497480392456, 0.27294981479644775)","(0.5302001237869263, 0.27256906032562256)","(0.5845929384231567, 0.2869306802749634)","(0.521859347820282, 0.28091925382614136)","(0.6028413772583008, 0.3368557393550873)","(0.49995070695877075, 0.3316168785095215)","(0.665950357913971, 0.3930024802684784)","(0.46898511052131653, 0.3287234604358673)","(0.6556156277656555, 0.3906639516353607)","(0.49851691722869873, 0.3059626817703247)","(0.5555433034896851, 0.48697707056999207)","(0.4819273352622986, 0.4844176471233368)","(0.5671054124832153, 0.5926022529602051)","(0.47281399369239807, 0.5690550804138184)","(0.5733951926231384, 0.6829710602760315)","(0.48591768741607666, 0.6305995583534241)"
36,"(0.5530256628990173, 0.2780287563800812)","(0.5685374140739441, 0.2725118100643158)","(0.542651891708374, 0.27131789922714233)","(0.5948140621185303, 0.28801429271698)","(0.5259408354759216, 0.282520592212677)","(0.617761492729187, 0.343904584646225)","(0.4983687102794647, 0.33645549416542053)","(0.6823697090148926, 0.3939943015575409)","(0.44418272376060486, 0.30688342452049255)","(0.6599318385124207, 0.40121057629585266)","(0.508985698223114, 0.28564387559890747)","(0.5584001541137695, 0.48849767446517944)","(0.48372700810432434, 0.4853784143924713)","(0.5667700171470642, 0.5895867943763733)","(0.4702981114387512, 0.5694404244422913)","(0.5768835544586182, 0.6809627413749695)","(0.48608773946762085, 0.6312955617904663)"
37,"(0.5517862439155579, 0.2774040699005127)","(0.5707188248634338, 0.270204097032547)","(0.543904185295105, 0.2693127989768982)","(0.5990199446678162, 0.28752878308296204)","(0.5349168181419373, 0.27921611070632935)","(0.6206992268562317, 0.3417755365371704)","(0.5013964176177979, 0.33106255531311035)","(0.6796550154685974, 0.4051218628883362)","(0.43759605288505554, 0.30039429664611816)","(0.6527870893478394, 0.4053219258785248)","(0.5111812949180603, 0.2800632417201996)","(0.5607029795646667, 0.48781096935272217)","(0.48463892936706543, 0.48239070177078247)","(0.5660680532455444, 0.5907760858535767)","(0.4711548984050751, 0.5700244307518005)","(0.5759354829788208, 0.6804945468902588)","(0.48469170928001404, 0.6301853060722351)"
38,"(0.5633149147033691, 0.2788805067539215)","(0.5807617902755737, 0.27328184247016907)","(0.5555317997932434, 0.2714592218399048)","(0.607808530330658, 0.28940173983573914)","(0.5450568199157715, 0.28121131658554077)","(0.630460798740387, 0.34951573610305786)","(0.5055090188980103, 0.3332950174808502)","(0.6753876209259033, 0.4179665446281433)","(0.425852507352829, 0.28780046105384827)","(0.6501402854919434, 0.41313451528549194)","(0.4984241724014282, 0.27563098073005676)","(0.5633956789970398, 0.49135372042655945)","(0.4859079122543335, 0.4840996563434601)","(0.5677952766418457, 0.5914000272750854)","(0.47170570492744446, 0.56775963306427)","(0.5734761357307434, 0.681682288646698)","(0.48546189069747925, 0.6310817003250122)"
39,"(0.5744607448577881, 0.2805323302745819)","(0.5928572416305542, 0.27452924847602844)","(0.5652849674224854, 0.27268269658088684)","(0.6164186000823975, 0.2911459803581238)","(0.5504639744758606, 0.28216519951820374)","(0.6331350803375244, 0.3538574278354645)","(0.5079492926597595, 0.32903945446014404)","(0.6748539209365845, 0.42761117219924927)","(0.4286693036556244, 0.2781088054180145)","(0.6413141489028931, 0.4156055450439453)","(0.4801723062992096, 0.25581562519073486)","(0.5662093758583069, 0.49045300483703613)","(0.48945680260658264, 0.48423051834106445)","(0.5673879981040955, 0.5898779034614563)","(0.4737595021724701, 0.5712502598762512)","(0.5743351578712463, 0.6824562549591064)","(0.48443686962127686, 0.6319392919540405)"
